Ticker,Date/Time,Close,Trend_MACD_RSI,Trend_MACD_SIGNAL
SPY,27/01/2020,323.50,3.00,3.00
SPY,28/01/2020,326.89,3.00,3.00
SPY,29/01/2020,326.62,3.00,3.00
SPY,30/01/2020,327.68,3.00,3.00
SPY,31/01/2020,321.73,2.00,3.00
SPY,03/02/2020,324.12,2.00,3.00
SPY,04/02/2020,329.06,2.00,3.00
SPY,05/02/2020,332.86,3.00,3.00
SPY,06/02/2020,333.98,3.00,3.00
SPY,07/02/2020,332.20,3.00,3.00
SPY,10/02/2020,334.68,3.00,3.00
SPY,11/02/2020,335.26,3.00,3.00
SPY,12/02/2020,337.42,3.00,3.00
SPY,13/02/2020,337.06,3.00,3.00
SPY,14/02/2020,337.60,3.00,3.00
SPY,18/02/2020,336.73,3.00,3.00
SPY,19/02/2020,338.34,3.00,3.00
SPY,20/02/2020,336.95,3.00,3.00
SPY,21/02/2020,333.48,3.00,3.00
SPY,24/02/2020,322.42,3.00,3.00
SPY,25/02/2020,312.65,1.00,2.00
SPY,26/02/2020,311.50,1.00,2.00
SPY,27/02/2020,297.51,1.00,2.00
SPY,28/02/2020,296.26,1.00,1.00
SPY,02/03/2020,309.09,1.00,1.00
SPY,03/03/2020,300.24,1.00,1.00
SPY,04/03/2020,312.86,1.00,1.00
SPY,05/03/2020,302.46,1.00,1.00
SPY,06/03/2020,297.46,1.00,1.00
SPY,09/03/2020,274.23,1.00,1.00
SPY,10/03/2020,288.42,1.00,1.00
SPY,11/03/2020,274.36,1.00,1.00
SPY,12/03/2020,248.11,1.00,1.00
SPY,13/03/2020,269.32,1.00,1.00
SPY,16/03/2020,239.85,1.00,1.00
SPY,17/03/2020,252.80,1.00,1.00
SPY,18/03/2020,240.00,1.00,1.00
SPY,19/03/2020,240.51,1.00,1.00
SPY,20/03/2020,228.80,1.00,1.00
SPY,23/03/2020,222.95,1.00,1.00
SPY,24/03/2020,243.15,1.00,1.00
SPY,25/03/2020,246.79,1.00,1.00
SPY,26/03/2020,261.20,1.00,1.00
SPY,27/03/2020,253.42,1.00,1.00
SPY,30/03/2020,261.65,1.00,1.00
SPY,31/03/2020,257.75,1.00,1.00
SPY,01/04/2020,246.15,1.00,1.00
SPY,02/04/2020,251.83,1.00,1.00
SPY,03/04/2020,248.19,1.00,1.00
SPY,06/04/2020,264.86,1.00,1.00
SPY,07/04/2020,265.13,1.00,1.00
SPY,08/04/2020,274.03,2.00,1.00
SPY,09/04/2020,278.20,2.00,1.00
SPY,13/04/2020,275.66,3.00,2.00
SPY,14/04/2020,283.79,3.00,2.00
SPY,15/04/2020,277.76,3.00,2.00
SPY,16/04/2020,279.10,3.00,2.00
SPY,17/04/2020,286.64,3.00,2.00
SPY,20/04/2020,281.59,3.00,2.00
SPY,21/04/2020,273.04,3.00,2.00
SPY,22/04/2020,279.10,3.00,2.00
SPY,23/04/2020,279.08,3.00,2.00
SPY,24/04/2020,282.97,3.00,3.00
SPY,27/04/2020,287.05,3.00,3.00
SPY,28/04/2020,285.73,3.00,3.00
SPY,29/04/2020,293.21,3.00,3.00
SPY,30/04/2020,290.48,3.00,3.00
SPY,01/05/2020,282.79,3.00,3.00
SPY,04/05/2020,283.57,3.00,3.00
SPY,05/05/2020,286.19,3.00,3.00
SPY,06/05/2020,284.25,3.00,3.00
SPY,07/05/2020,287.68,3.00,3.00
SPY,08/05/2020,292.44,3.00,3.00
SPY,11/05/2020,292.50,3.00,3.00
SPY,12/05/2020,286.67,3.00,3.00
SPY,13/05/2020,281.60,3.00,3.00
SPY,14/05/2020,284.97,3.00,3.00
SPY,15/05/2020,286.28,3.00,3.00
SPY,18/05/2020,295.00,3.00,3.00
SPY,19/05/2020,291.97,3.00,3.00
SPY,20/05/2020,296.93,3.00,3.00
SPY,21/05/2020,294.88,3.00,3.00
SPY,22/05/2020,295.44,3.00,3.00
SPY,26/05/2020,299.08,3.00,3.00
SPY,27/05/2020,303.53,3.00,3.00
SPY,28/05/2020,302.97,3.00,3.00
SPY,29/05/2020,304.32,3.00,3.00
SPY,01/06/2020,305.55,3.00,3.00
SPY,02/06/2020,308.08,3.00,3.00
SPY,03/06/2020,312.18,3.00,3.00
SPY,04/06/2020,311.36,3.00,3.00
SPY,05/06/2020,319.34,3.00,3.00
SPY,08/06/2020,323.20,3.00,3.00
SPY,09/06/2020,320.79,3.00,3.00
SPY,10/06/2020,319.00,3.00,3.00
SPY,11/06/2020,300.61,3.00,3.00
SPY,12/06/2020,304.21,3.00,3.00
SPY,15/06/2020,307.05,3.00,3.00
SPY,16/06/2020,312.96,3.00,3.00
SPY,17/06/2020,311.66,3.00,3.00
SPY,18/06/2020,311.78,3.00,3.00
SPY,19/06/2020,308.64,3.00,3.00
SPY,22/06/2020,310.62,3.00,3.00
SPY,23/06/2020,312.05,3.00,3.00
SPY,24/06/2020,304.09,3.00,3.00
SPY,25/06/2020,307.35,3.00,3.00
SPY,26/06/2020,300.05,2.00,3.00
SPY,29/06/2020,304.46,2.00,3.00
SPY,30/06/2020,308.36,2.00,3.00
SPY,01/07/2020,310.52,2.00,3.00
SPY,02/07/2020,312.23,3.00,3.00
SPY,06/07/2020,317.05,3.00,3.00
SPY,07/07/2020,313.78,3.00,3.00
SPY,08/07/2020,316.18,3.00,3.00
SPY,09/07/2020,314.38,3.00,3.00
SPY,10/07/2020,317.59,3.00,3.00
SPY,13/07/2020,314.84,3.00,3.00
SPY,14/07/2020,318.92,3.00,3.00
SPY,15/07/2020,321.85,3.00,3.00
SPY,16/07/2020,320.79,3.00,3.00
SPY,17/07/2020,321.72,3.00,3.00
SPY,20/07/2020,324.32,3.00,3.00
SPY,21/07/2020,325.01,3.00,3.00
SPY,22/07/2020,326.86,3.00,3.00
SPY,23/07/2020,322.96,3.00,3.00
SPY,24/07/2020,320.88,3.00,3.00
SPY,27/07/2020,323.22,3.00,3.00
SPY,28/07/2020,321.17,3.00,3.00
SPY,29/07/2020,325.12,3.00,3.00
SPY,30/07/2020,323.96,3.00,3.00
SPY,31/07/2020,326.52,3.00,3.00
SPY,03/08/2020,328.79,3.00,3.00
SPY,04/08/2020,330.06,3.00,3.00
SPY,05/08/2020,332.11,3.00,3.00
SPY,06/08/2020,334.33,3.00,3.00
SPY,07/08/2020,334.57,3.00,3.00
SPY,10/08/2020,335.57,3.00,3.00
SPY,11/08/2020,332.80,3.00,3.00
SPY,12/08/2020,337.44,3.00,3.00
SPY,13/08/2020,336.83,3.00,3.00
SPY,14/08/2020,336.84,3.00,3.00
SPY,17/08/2020,337.91,3.00,3.00
SPY,18/08/2020,338.64,3.00,3.00
SPY,19/08/2020,337.23,3.00,3.00
SPY,20/08/2020,338.28,3.00,3.00
SPY,21/08/2020,339.48,3.00,3.00
SPY,24/08/2020,342.92,3.00,3.00
SPY,25/08/2020,344.12,3.00,3.00
SPY,26/08/2020,347.57,3.00,3.00
SPY,27/08/2020,348.33,3.00,3.00
SPY,28/08/2020,350.58,3.00,3.00
SPY,31/08/2020,349.31,3.00,3.00
SPY,01/09/2020,352.60,3.00,3.00
SPY,02/09/2020,357.70,3.00,3.00
SPY,03/09/2020,345.39,3.00,3.00
SPY,04/09/2020,342.57,3.00,3.00
SPY,08/09/2020,333.21,3.00,3.00
SPY,09/09/2020,339.79,3.00,3.00
SPY,10/09/2020,333.89,2.00,3.00
SPY,11/09/2020,334.06,2.00,3.00
SPY,14/09/2020,338.46,1.00,2.00
SPY,15/09/2020,340.17,1.00,2.00
SPY,16/09/2020,338.82,1.00,2.00
